gamma, g1
1.55,0.0
1.67,0.0
1.81,0.0
1.95,0.0
2.11,0.0
2.28,0.0
2.46,0.0
2.66,0.0
2.87,0.0
3.1,0.0
3.34,0.0
3.61,0.0
3.9,0.0
4.21,0.0
4.55,0.0
4.91,0.0
5.31,0.0
5.73,0.0
6.19,0.0
6.68,0.0
7.22,0.0
7.79,0.0
8.42,0.0
9.09,0.0
9.82,0.0
10.6,0.0
11.4,0.0
12.4,0.0
13.4,0.0
14.4,0.0
15.6,0.0
16.8,0.0
18.2,0.0
19.6,0.0
21.2,0.0
22.9,0.0
24.7,0.0
26.7,0.0
28.8,0.0
31.1,0.0
33.6,0.0
36.3,0.0
39.2,0.0
42.3,0.0
45.7,0.0
49.4,0.0
53.3,0.0
57.6,0.0
62.2,0.0
67.1,0.0
72.5,0.0
78.3,0.0
84.6,0.0
91.3,0.0001017218716727969
98.6,0.0005887575155469347
107.0,0.0016523777969597695
115.0,0.003437934110742336
124.0,0.006011111788721262
134.0,0.00938878412714559
145.0,0.013525754796776816
156.0,0.018334644227753827
169.0,0.023679863432361104
182.0,0.02939267944810823
197.0,0.035283267692193476
213.0,0.041128659607040215
230.0,0.04673300443261493
248.0,0.051825124193486574
268.0,0.056224233572701135
289.0,0.05971941636714557
313.0,0.06219014903218389
338.0,0.06345564625086204
365.0,0.06342551536470305
394.0,0.06209975637370688
425.0,0.05947836927787355
459.0,0.055651746735680054
496.0,0.05077054317792144
536.0,0.044985413035392705
578.0,0.0385675342835249
625.0,0.03181821578390804
675.0,0.02505684492982758
728.0,0.01860280911456896
787.0,0.012787548085881223
850.0,0.007903331439506701
918.0,0.0041550492013266264
991.0,0.0016668406223160914
1070.0,0.00035735230984578533
1160.0,0.0
1250.0,0.0
1350.0,0.0
1460.0,0.0
1570.0,0.0
1700.0,0.0
1830.0,0.0
1980.0,0.0
2140.0,0.0
2310.0,0.0
2490.0,0.0
2690.0,0.0
2910.0,0.0
3140.0,0.0
3390.0,0.0
3660.0,0.0
3960.0,0.0
4270.0,0.0
4610.0,0.0
4980.0,0.0
5380.0,0.0
5810.0,0.0
6280.0,0.0
6780.0,0.0
7320.0,0.0
7900.0,0.0
8540.0,0.0
9220.0,0.0
9960.0,0.0
10800.0,0.0
11600.0,0.0
12500.0,0.0
13500.0,0.0
14600.0,0.0
15800.0,0.0
17100.0,0.0
18400.0,0.0
19900.0,0.0
21500.0,0.0
23200.0,0.0
25100.0,0.0
27100.0,0.0
29200.0,0.0
31600.0,0.0
34100.0,0.0
36800.0,0.0
39700.0,0.0
42900.0,0.0
46400.0,0.0
50100.0,0.0
54100.0,0.0
58400.0,0.0
63000.0,0.0
68100.0,0.0
73500.0,0.0
79400.0,0.0
85800.0,0.0
92600.0,0.0
100000.0,0.0
108000.0,0.0
117000.0,0.0
126000.0,0.0
136000.0,0.0
147000.0,0.0
159000.0,0.0
171000.0,0.0
185000.0,0.0
200000.0,0.0
216000.0,0.0
233000.0,0.0
252000.0,0.0
272000.0,0.0
294000.0,0.0
317000.0,0.0
342000.0,0.0
370000.0,0.0
399000.0,0.0
431000.0,0.0
466000.0,0.0
503000.0,0.0
543000.0,0.0
587000.0,0.0
633000.0,0.0
684000.0,0.0
739000.0,0.0
798000.0,0.0
862000.0,0.0
931000.0,0.0
1000000.0,0.0
1090000.0,0.0
1170000.0,0.0
1270000.0,0.0
1370000.0,0.0
1480000.0,0.0
1590000.0,0.0
1720000.0,0.0
1860000.0,0.0
2010000.0,0.0
2170000.0,0.0
2340000.0,0.0
2530000.0,0.0
2730000.0,0.0
2950000.0,0.0
3190000.0,0.0
3440000.0,0.0
3710000.0,0.0
4010000.0,0.0
4330000.0,0.0
4680000.0,0.0
5050000.0,0.0
5460000.0,0.0
5890000.0,0.0
6360000.0,0.0
6870000.0,0.0
7420000.0,0.0
8020000.0,0.0
8660000.0,0.0
9350000.0,0.0
10100000.0,0.0
10900000.0,0.0
11800000.0,0.0
12700000.0,0.0
13700000.0,0.0
14800000.0,0.0
16000000.0,0.0
17300000.0,0.0
18700000.0,0.0
20200000.0,0.0
21800000.0,0.0
23500000.0,0.0
25400000.0,0.0
27400000.0,0.0
29600000.0,0.0
32000000.0,0.0
34600000.0,0.0
37300000.0,0.0
40300000.0,0.0
43500000.0,0.0
47000000.0,0.0
50800000.0,0.0
54800000.0,0.0
59200000.0,0.0
63900000.0,0.0
69100000.0,0.0
74600000.0,0.0
80500000.0,0.0
87000000.0,0.0
93900000.0,0.0
101000000.0,0.0
110000000.0,0.0
118000000.0,0.0
128000000.0,0.0
138000000.0,0.0
149000000.0,0.0
161000000.0,0.0
174000000.0,0.0
188000000.0,0.0
203000000.0,0.0
219000000.0,0.0
236000000.0,0.0
255000000.0,0.0
276000000.0,0.0
298000000.0,0.0
322000000.0,0.0
347000000.0,0.0
375000000.0,0.0
405000000.0,0.0
437000000.0,0.0
472000000.0,0.0
510000000.0,0.0
