gamma, g1
0.162,0.0
0.177,0.0
0.193,0.0
0.21,0.0
0.229,0.0
0.249,0.0
0.272,0.0
0.296,0.0
0.323,0.0
0.352,0.0
0.383,0.0
0.417,0.0
0.455,0.0
0.495,0.0
0.54,0.0
0.588,0.0
0.641,0.0
0.698,0.0
0.761,0.0
0.829,0.0
0.903,0.0
0.984,0.0
1.07,0.0
1.17,0.0
1.27,0.0
1.39,0.0
1.51,0.0
1.65,0.0
1.79,0.0
1.95,0.0
2.13,0.0
2.32,0.0
2.53,0.0
2.75,0.0
3.0,0.0
3.27,0.0
3.56,0.0
3.88,0.0
4.23,0.0
4.61,0.0
5.02,0.0
5.47,0.0
5.96,0.0
6.49,0.0
7.07,0.0
7.7,0.0
8.39,0.0
9.15,0.0
9.96,0.0
10.9,0.0
11.8,1.539485432915146e-05
12.9,7.076913592410101e-05
14.0,0.00018927848857995896
15.3,0.0003910983430198852
16.7,0.0006952373896588126
18.2,0.0011169244298981302
19.8,0.0016697058867921578
21.6,0.0023640693136732726
23.5,0.0032096283010961523
25.6,0.004208130774616194
27.9,0.005363946548121889
30.4,0.00667489071466899
33.1,0.008138778367313254
36.1,0.009749054785221941
39.3,0.011492610526729586
42.8,0.013356336150170714
46.6,0.015329307120824103
50.8,0.017385304555358805
55.4,0.01950903410516511
60.3,0.02166990707302358
65.7,0.023837334761714787
71.6,0.026000392636517506
78.0,0.028119752372435317
85.0,0.030151715830583323
92.6,0.03209628301096153
101.0,0.03386605763580011
110.0,0.03548288877454154
120.0,0.03688122921885845
131.0,0.038061078968750835
142.0,0.038956890815891355
155.0,0.03956866476028
169.0,0.039896400801916775
184.0,0.039874551732474325
200.0,0.03950311755195265
218.0,0.038825796399236646
238.0,0.03777704106599897
259.0,0.03640054969112451
282.0,0.03471817134405573
308.0,0.03275175509423507
335.0,0.030501300941662556
365.0,0.028032356094665513
398.0,0.025366769622686407
434.0,0.02259193780349504
472.0,0.019734079520422363
515.0,0.016869666516516946
561.0,0.014059876186217658
611.0,0.011370255737851857
666.0,0.008864167472802649
725.0,0.0066027887855088984
790.0,0.004638557442632493
861.0,0.0030151715830583326
938.0,0.0017520768785902008
1020.0,0.0008601978639493228
1110.0,0.00031222320233263457
1210.0,5.949501609179594e-05
1320.0,0.0
1440.0,0.0
1570.0,0.0
1710.0,0.0
1860.0,0.0
2030.0,0.0
2210.0,0.0
2410.0,0.0
2630.0,0.0
2860.0,0.0
3120.0,0.0
3400.0,0.0
3700.0,0.0
4030.0,0.0
4390.0,0.0
4790.0,0.0
5210.0,0.0
5680.0,0.0
6190.0,0.0
6740.0,0.0
7350.0,0.0
8000.0,0.0
8720.0,0.0
9500.0,0.0
10400.0,0.0
11300.0,0.0
12300.0,0.0
13400.0,0.0
14600.0,0.0
15900.0,0.0
17300.0,0.0
18900.0,0.0
20600.0,0.0
22400.0,0.0
24400.0,0.0
26600.0,0.0
29000.0,0.0
31600.0,0.0
34400.0,0.0
37500.0,0.0
40800.0,0.0
44500.0,0.0
48500.0,0.0
52800.0,0.0
57500.0,0.0
62700.0,0.0
68300.0,0.0
74400.0,0.0
81100.0,0.0
88300.0,0.0
96200.0,0.0
105000.0,0.0
114000.0,0.0
124000.0,0.0
136000.0,0.0
148000.0,0.0
161000.0,0.0
175000.0,0.0
191000.0,0.0
208000.0,0.0
227000.0,0.0
247000.0,0.0
269000.0,0.0
293000.0,0.0
320000.0,0.0
348000.0,0.0
380000.0,0.0
414000.0,0.0
451000.0,0.0
491000.0,0.0
535000.0,0.0
583000.0,0.0
635000.0,0.0
692000.0,0.0
754000.0,0.0
821000.0,0.0
895000.0,0.0
975000.0,0.0
1060000.0,0.0
1160000.0,0.0
1260000.0,0.0
1370000.0,0.0
1500000.0,0.0
1630000.0,0.0
1780000.0,0.0
1940000.0,0.0
2110000.0,0.0
2300000.0,0.0
2500000.0,0.0
2730000.0,0.0
2970000.0,0.0
3240000.0,0.0
3530000.0,0.0
3840000.0,0.0
4190000.0,0.0
4560000.0,0.0
4970000.0,0.0
5420000.0,0.0
5900000.0,0.0
6430000.0,0.0
7010000.0,0.0
7630000.0,0.0
8320000.0,0.0
9060000.0,0.0
9870000.0,0.0
10800000.0,0.0
11700000.0,0.0
12800000.0,0.0
13900000.0,0.0
15200000.0,0.0
16500000.0,0.0
18000000.0,0.0
19600000.0,0.0
21400000.0,0.0
23300000.0,0.0
25400000.0,0.0
27600000.0,0.0
30100000.0,0.0
32800000.0,0.0
35700000.0,0.0
38900000.0,0.0
42400000.0,0.0
46200000.0,0.0
50400000.0,0.0
54900000.0,0.0
59800000.0,0.0
65100000.0,0.0
71000000.0,0.0
77300000.0,0.0
84200000.0,0.0
91800000.0,0.0
100000000.0,0.0
109000000.0,0.0
119000000.0,0.0
129000000.0,0.0
141000000.0,0.0
154000000.0,0.0
167000000.0,0.0
182000000.0,0.0
199000000.0,0.0
216000000.0,0.0
236000000.0,0.0
257000000.0,0.0
280000000.0,0.0
305000000.0,0.0
332000000.0,0.0
362000000.0,0.0
394000000.0,0.0
430000000.0,0.0
468000000.0,0.0
510000000.0,0.0
