gamma, g1
1e-05,0.0
1.07e-05,0.0
1.14e-05,0.0
1.22e-05,0.0
1.31e-05,0.0
1.4e-05,0.0
1.49e-05,0.0
1.6e-05,0.0
1.71e-05,0.0
1.83e-05,0.0
1.95e-05,0.0
2.09e-05,0.0
2.23e-05,0.0
2.39e-05,0.0
2.55e-05,0.0
2.73e-05,0.0
2.92e-05,0.0
3.12e-05,0.0
3.33e-05,0.0
3.56e-05,0.0
3.81e-05,0.0
4.07e-05,0.0
4.36e-05,0.0
4.66e-05,2.2713283613349132e-05
4.98e-05,0.00010384536109108144
5.32e-05,0.0002740930190620846
5.69e-05,0.000561781922006217
6.08e-05,0.0009892365112578012
6.51e-05,0.0015768506126399092
6.96e-05,0.0023379481923569475
7.44e-05,0.0032847655459027594
7.95e-05,0.004421381438441959
8.5e-05,0.005748339705329829
9.09e-05,0.007265640346566368
9.72e-05,0.00896240665504594
0.000104,0.010827761923662903
0.000111,0.012845391091758803
0.000119,0.014996259921898774
0.000127,0.017253176646318716
0.000136,0.019588949497254534
0.000145,0.02197366753016573
0.000155,0.024374700623735375
0.000166,0.02675669947987016
0.000177,0.029067999739818294
0.00019,0.03129772469647414
0.000203,0.033391490814309505
0.000217,0.0353221063255603
0.000232,0.03703518769469833
0.000248,0.0385035431539595
0.000265,0.03969998093557971
0.000283,0.04059730927179486
0.000303,0.04114114462707678
0.000324,0.04135867876918955
0.000346,0.041222719930369064
0.00037,0.04067888457508715
0.000396,0.03980874800663609
0.000423,0.03853073492172359
0.000452,0.036926420623641945
0.000484,0.03499580511239116
0.000517,0.03276608015573531
0.000553,0.0302916292892026
0.000591,0.02757245251279303
0.000632,0.024722755251115804
0.000676,0.02176429091838219
0.000723,0.018770477287555255
0.000773,0.015809293778045234
0.000826,0.012946000632485959
0.000883,0.010251296447064075
0.000944,0.007787722287637005
0.00101,0.00561510004328576
0.00108,0.0037769365424328914
0.00115,0.002309940671559929
0.00123,0.0012266206438383566
0.00132,0.0005128367400308447
0.00141,0.0001324782925466742
0.00151,0.0
0.00161,0.0
0.00172,0.0
0.00184,0.0
0.00197,0.0
0.00211,0.0
0.00225,0.0
0.00241,0.0
0.00257,0.0
0.00275,0.0
0.00294,0.0
0.00315,0.0
0.00336,0.0
0.0036,0.0
0.00385,0.0
0.00411,0.0
0.0044,0.0
0.0047,0.0
0.00503,0.0
0.00537,0.0
0.00575,0.0
0.00614,0.0
0.00657,0.0
0.00702,0.0
0.00751,0.0
0.00803,0.0
0.00858,0.0
0.00918,0.0
0.00981,0.0
0.0105,0.0
0.0112,0.0
0.012,0.0
0.0128,0.0
0.0137,0.0
0.0147,0.0
0.0157,0.0
0.0168,0.0
0.0179,0.0
0.0191,0.0
0.0205,0.0
0.0219,0.0
0.0234,0.0
0.025,0.0
0.0268,0.0
0.0286,0.0
0.0306,0.0
0.0327,0.0
0.035,0.0
0.0374,0.0
0.04,0.0
0.0427,0.0
0.0457,0.0
0.0488,0.0
0.0522,0.0
0.0558,0.0
0.0597,0.0
0.0638,0.0
0.0682,0.0
0.0729,0.0
0.078,0.0
0.0834,0.0
0.0892,0.0
0.0953,0.0
0.102,0.0
0.109,0.0
0.117,0.0
0.125,0.0
0.133,0.0
0.142,0.0
0.152,0.0
0.163,0.0
0.174,0.0
0.186,0.0
0.199,0.0
0.213,0.0
0.227,0.0
0.243,0.0
0.26,0.0
0.278,0.0
0.297,0.0
0.318,0.0
0.34,0.0
0.363,0.0
0.388,0.0
0.415,0.0
0.444,0.0
0.475,0.0
0.507,0.0
0.542,0.0
0.58,0.0
0.62,0.0
0.663,0.0
0.709,0.0
0.758,0.0
0.81,0.0
0.866,0.0
0.926,0.0
0.99,0.0
1.06,0.0
1.13,0.0
1.21,0.0
1.29,0.0
1.38,0.0
1.48,0.0
1.58,0.0
1.69,0.0
1.81,0.0
1.93,0.0
2.07,0.0
2.21,0.0
2.36,0.0
2.53,0.0
2.7,0.0
2.89,0.0
3.09,0.0
3.3,0.0
3.53,0.0
3.77,0.0
4.03,0.0
4.31,0.0
4.61,0.0
4.93,0.0
5.27,0.0
5.64,0.0
6.03,0.0
6.44,0.0
6.89,0.0
7.36,0.0
7.87,0.0
8.42,0.0
9.0,0.0
9.62,0.0
10.3,0.0
11.0,0.0
11.8,0.0
12.6,0.0
13.4,0.0
14.4,0.0
15.4,0.0
16.4,0.0
17.6,0.0
18.8,0.0
20.1,0.0
21.5,0.0
23.0,0.0
24.5,0.0
26.2,0.0
28.1,0.0
30.0,0.0
32.1,0.0
34.3,0.0
36.7,0.0
39.2,0.0
41.9,0.0
44.8,0.0
47.9,0.0
51.2,0.0
54.8,0.0
58.6,0.0
62.6,0.0
66.9,0.0
71.6,0.0
76.5,0.0
81.8,0.0
87.5,0.0
93.5,0.0
100.0,0.0
107.0,0.0
114.0,0.0
122.0,0.0
131.0,0.0
140.0,0.0
149.0,0.0
160.0,0.0
171.0,0.0
183.0,0.0
195.0,0.0
209.0,0.0
223.0,0.0
239.0,0.0
255.0,0.0
