gamma, g1
1.15,0.0
1.24,0.0
1.34,0.0
1.44,0.0
1.55,0.0
1.68,0.0
1.81,0.0
1.95,0.0
2.1,0.0
2.27,0.0
2.44,0.0
2.63,0.0
2.84,0.0
3.06,0.0
3.3,0.0
3.56,0.0
3.84,0.0
4.14,0.0
4.46,0.0
4.81,0.0
5.19,0.0
5.6,0.0
6.04,0.0
6.51,0.0
7.02,0.0
7.57,0.0
8.16,0.0
8.8,0.0
9.49,0.0
10.2,0.0
11.0,0.0
11.9,0.0
12.8,0.0
13.8,0.0
14.9,0.0
16.1,0.0
17.3,0.0
18.7,0.0
20.2,0.0
21.7,0.0
23.4,0.0
25.3,0.0
27.2,0.0
29.4,0.0
31.7,0.0
34.2,0.0
36.8,0.0
39.7,0.0
42.8,0.0
46.2,0.0
49.8,1.8144008449573057e-05
53.7,0.00016144826029503617
57.9,0.0005237857940581927
62.4,0.001172663288115016
67.3,0.0021631153785151317
72.6,0.0035242730090938373
78.3,0.005277841588983316
84.4,0.007411254828685988
91.0,0.009918800778430225
98.1,0.012757639814928827
106.0,0.01588493231489459
114.0,0.019243558780611247
123.0,0.022767831789705085
133.0,0.026377784045373328
143.0,0.029987736301041568
154.0,0.03352914515945028
166.0,0.036899195524710195
179.0,0.04001220815024689
193.0,0.0428110635383441
208.0,0.045210082442427434
225.0,0.04709502586706433
242.0,0.04849445356111294
261.0,0.04929412652914071
282.0,0.049494044771147654
304.0,0.04906564853827563
328.0,0.048008937830524644
353.0,0.046352472396752824
381.0,0.04415337173467644
411.0,0.0414116358442955
443.0,0.038241503721042534
478.0,0.03470009486263381
515.0,0.030901648264501886
555.0,0.02693755512299277
599.0,0.022913486508881573
646.0,0.01895224934225827
696.0,0.015162370668783778
751.0,0.011655233509004824
809.0,0.008516517109495804
873.0,0.005834756691716945
941.0,0.003661359803612885
1010.0,0.0020217446216673645
1090.0,0.0009070576237343621
1180.0,0.00027420214878695246
1270.0,1.852385310938625e-05
1370.0,0.0
1480.0,0.0
1590.0,0.0
1720.0,0.0
1850.0,0.0
2000.0,0.0
2160.0,0.0
2320.0,0.0
2510.0,0.0
2700.0,0.0
2910.0,0.0
3140.0,0.0
3390.0,0.0
3650.0,0.0
3940.0,0.0
4250.0,0.0
4580.0,0.0
4940.0,0.0
5330.0,0.0
5740.0,1.1889423449641529e-06
6190.0,1.459688764139271e-05
6680.0,3.50142521000733e-05
7200.0,5.369232785329348e-05
7760.0,6.251729025045714e-05
8370.0,5.626270525052561e-05
9020.0,3.846998171190761e-05
9730.0,1.6553230438174946e-05
10500.0,1.1786608353752243e-06
11300.0,0.0
12200.0,0.0
13200.0,0.0
14200.0,0.0
15300.0,0.0
16500.0,0.0
17800.0,0.0
19200.0,0.0
20700.0,0.0
22300.0,0.0
24000.0,0.0
25900.0,0.0
27900.0,0.0
30100.0,0.0
32500.0,0.0
35000.0,0.0
37800.0,0.0
40700.0,0.0
43900.0,0.0
47400.0,0.0
51100.0,0.0
55100.0,0.0
59400.0,0.0
64000.0,0.0
69000.0,0.0
74400.0,0.0
80300.0,0.0
86600.0,0.0
93300.0,0.0
101000.0,0.0
109000.0,0.0
117000.0,0.0
126000.0,0.0
136000.0,0.0
147000.0,0.0
158000.0,0.0
171000.0,0.0
184000.0,0.0
198000.0,0.0
214000.0,0.0
231000.0,0.0
249000.0,0.0
268000.0,0.0
289000.0,0.0
312000.0,0.0
336000.0,0.0
362000.0,0.0
391000.0,0.0
421000.0,0.0
454000.0,0.0
490000.0,0.0
528000.0,0.0
570000.0,0.0
614000.0,0.0
662000.0,0.0
714000.0,0.0
770000.0,0.0
830000.0,0.0
895000.0,0.0
965000.0,0.0
1040000.0,0.0
1120000.0,0.0
1210000.0,0.0
1300000.0,0.0
1410000.0,0.0
1520000.0,0.0
1640000.0,0.0
1760000.0,0.0
1900000.0,0.0
2050000.0,0.0
2210000.0,0.0
2380000.0,0.0
2570000.0,0.0
2770000.0,0.0
2990000.0,0.0
3220000.0,0.0
3480000.0,0.0
3750000.0,0.0
4040000.0,0.0
4360000.0,0.0
4700000.0,0.0
5070000.0,0.0
5460000.0,0.0
5890000.0,0.0
6350000.0,0.0
6850000.0,0.0
7380000.0,0.0
7960000.0,0.0
8590000.0,0.0
9260000.0,0.0
9980000.0,0.0
10800000.0,0.0
11600000.0,0.0
12500000.0,0.0
13500000.0,0.0
14600000.0,0.0
15700000.0,0.0
16900000.0,0.0
18200000.0,0.0
19700000.0,0.0
21200000.0,0.0
22900000.0,0.0
24700000.0,0.0
26600000.0,0.0
28700000.0,0.0
30900000.0,0.0
33300000.0,0.0
35900000.0,0.0
38800000.0,0.0
41800000.0,0.0
45100000.0,0.0
48600000.0,0.0
52400000.0,0.0
56500000.0,0.0
60900000.0,0.0
65700000.0,0.0
70800000.0,0.0
76400000.0,0.0
82300000.0,0.0
88800000.0,0.0
95700000.0,0.0
103000000.0,0.0
111000000.0,0.0
120000000.0,0.0
129000000.0,0.0
140000000.0,0.0
150000000.0,0.0
162000000.0,0.0
175000000.0,0.0
189000000.0,0.0
203000000.0,0.0
219000000.0,0.0
237000000.0,0.0
255000000.0,0.0
