gamma, g1
1.15,0.0
1.24,0.0
1.34,0.0
1.44,0.0
1.55,0.0
1.68,0.0
1.81,0.0
1.95,0.0
2.1,0.0
2.27,0.0
2.44,0.0
2.63,0.0
2.84,0.0
3.06,0.0
3.3,0.0
3.56,0.0
3.84,0.0
4.14,0.0
4.46,0.0
4.81,0.0
5.19,0.0
5.6,0.0
6.04,0.0
6.51,0.0
7.02,0.0
7.57,0.0
8.16,0.0
8.8,0.0
9.49,0.0
10.2,0.0
11.0,0.0
11.9,0.0
12.8,0.0
13.8,0.0
14.9,0.0
16.1,0.0
17.3,0.0
18.7,0.0
20.2,0.0
21.7,0.0
23.4,0.0
25.3,0.0
27.2,0.0
29.4,0.0
31.7,0.0
34.2,0.0
36.8,0.0
39.7,0.0
42.8,5.736942777155166e-05
46.2,0.0002661038070362088
49.8,0.0007079735973177364
53.7,0.00144049551631778
57.9,0.0025088384759317846
62.4,0.003935095965673826
67.3,0.005729578280650475
72.6,0.007884920924357037
78.3,0.010379030407279437
84.4,0.013175084246894214
91.0,0.016231350296341446
98.1,0.019484002919247137
106.0,0.022874126143573745
114.0,0.0263158008434332
123.0,0.02975256587895619
133.0,0.033091137627749956
143.0,0.03628241944644987
154.0,0.03917912140496211
166.0,0.041781243503286665
179.0,0.043990592454694305
193.0,0.04575807161582041
208.0,0.047010036021618073
225.0,0.04774648567208729
242.0,0.04789377560218113
261.0,0.047501002455264216
282.0,0.046543617909654236
304.0,0.0450216219653512
328.0,0.04300865958740202
353.0,0.04050473077580669
381.0,0.03763257713897677
411.0,0.03441674699859454
443.0,0.030930885319706933
478.0,0.02732228203240779
515.0,0.023635124115725263
555.0,0.019979879017229737
599.0,0.016452285191482213
646.0,0.013133352100034293
696.0,0.010106544036605828
751.0,0.007435686637570817
809.0,0.005167421714125642
873.0,0.0033336620844573025
941.0,0.0019395628961190832
1010.0,0.0009684312903670146
1090.0,0.00037215255670377547
1180.0,8.375887358003179e-05
1270.0,0.0
1370.0,0.0
1480.0,0.0
1590.0,8.469170980395945e-06
1720.0,3.39503288866307e-05
1850.0,7.61979905018812e-05
2000.0,0.00012374808960051003
2160.0,0.00016292721100547215
2320.0,0.00018207490191767168
2510.0,0.0001731147645036296
2700.0,0.00013896804904354042
2910.0,8.839850637798783e-05
3140.0,3.883544490140982e-05
3390.0,8.110765483834262e-06
3650.0,0.0
3940.0,0.0
4250.0,0.0
4580.0,0.0
4940.0,0.0
5330.0,0.0
5740.0,0.0
6190.0,0.0
6680.0,0.0
7200.0,0.0
7760.0,0.0
8370.0,0.0
9020.0,0.0
9730.0,0.0
10500.0,0.0
11300.0,0.0
12200.0,0.0
13200.0,0.0
14200.0,0.0
15300.0,0.0
16500.0,0.0
17800.0,0.0
19200.0,0.0
20700.0,0.0
22300.0,0.0
24000.0,0.0
25900.0,0.0
27900.0,0.0
30100.0,0.0
32500.0,0.0
35000.0,0.0
37800.0,0.0
40700.0,0.0
43900.0,0.0
47400.0,0.0
51100.0,0.0
55100.0,0.0
59400.0,0.0
64000.0,0.0
69000.0,0.0
74400.0,0.0
80300.0,0.0
86600.0,0.0
93300.0,0.0
101000.0,0.0
109000.0,0.0
117000.0,0.0
126000.0,0.0
136000.0,0.0
147000.0,0.0
158000.0,0.0
171000.0,0.0
184000.0,0.0
198000.0,0.0
214000.0,0.0
231000.0,0.0
249000.0,0.0
268000.0,0.0
289000.0,0.0
312000.0,0.0
336000.0,0.0
362000.0,0.0
391000.0,0.0
421000.0,0.0
454000.0,0.0
490000.0,0.0
528000.0,0.0
570000.0,0.0
614000.0,0.0
662000.0,0.0
714000.0,0.0
770000.0,0.0
830000.0,0.0
895000.0,0.0
965000.0,0.0
1040000.0,0.0
1120000.0,0.0
1210000.0,0.0
1300000.0,0.0
1410000.0,0.0
1520000.0,0.0
1640000.0,0.0
1760000.0,0.0
1900000.0,0.0
2050000.0,0.0
2210000.0,0.0
2380000.0,0.0
2570000.0,0.0
2770000.0,0.0
2990000.0,0.0
3220000.0,0.0
3480000.0,0.0
3750000.0,0.0
4040000.0,0.0
4360000.0,0.0
4700000.0,0.0
5070000.0,0.0
5460000.0,0.0
5890000.0,0.0
6350000.0,0.0
6850000.0,0.0
7380000.0,0.0
7960000.0,0.0
8590000.0,0.0
9260000.0,0.0
9980000.0,0.0
10800000.0,0.0
11600000.0,0.0
12500000.0,0.0
13500000.0,0.0
14600000.0,0.0
15700000.0,0.0
16900000.0,0.0
18200000.0,0.0
19700000.0,0.0
21200000.0,0.0
22900000.0,0.0
24700000.0,0.0
26600000.0,0.0
28700000.0,0.0
30900000.0,0.0
33300000.0,0.0
35900000.0,0.0
38800000.0,0.0
41800000.0,0.0
45100000.0,0.0
48600000.0,0.0
52400000.0,0.0
56500000.0,0.0
60900000.0,0.0
65700000.0,0.0
70800000.0,0.0
76400000.0,0.0
82300000.0,0.0
88800000.0,0.0
95700000.0,0.0
103000000.0,0.0
111000000.0,0.0
120000000.0,0.0
129000000.0,0.0
140000000.0,0.0
150000000.0,0.0
162000000.0,0.0
175000000.0,0.0
189000000.0,0.0
203000000.0,0.0
219000000.0,0.0
237000000.0,0.0
255000000.0,0.0
