gamma, g1
1.15e-06,4.406
1.24e-06,12.64
1.34e-06,24.12
1.44e-06,38.3
1.55e-06,54.62
1.68e-06,72.55
1.81e-06,91.59
1.95e-06,111.3
2.1e-06,131.1
2.27e-06,150.6
2.44e-06,169.4
2.63e-06,187.2
2.84e-06,203.5
3.06e-06,218.1
3.3e-06,230.7
3.56e-06,241.1
3.84e-06,249.1
4.14e-06,254.5
4.46e-06,257.2
4.81e-06,257.3
5.19e-06,254.6
5.6e-06,249.3
6.04e-06,241.4
6.51e-06,231.2
7.02e-06,218.7
7.57e-06,204.3
8.16e-06,188.2
8.8e-06,170.7
9.49e-06,152.2
1.02e-05,133.2
1.1e-05,114.0
1.19e-05,94.97
1.28e-05,76.67
1.38e-05,59.49
1.49e-05,43.84
1.61e-05,30.11
1.73e-05,18.66
1.87e-05,9.747
2.02e-05,3.61
2.17e-05,0.3504
2.34e-05,0.0
2.53e-05,2.42
2.72e-05,9.235
2.94e-05,21.85
3.17e-05,41.56
3.42e-05,69.38
3.68e-05,106.2
3.97e-05,152.5
4.28e-05,208.9
4.62e-05,275.2
4.98e-05,351.6
5.37e-05,437.4
5.79e-05,532.2
6.24e-05,635.0
6.73e-05,744.6
7.26e-05,859.8
7.83e-05,978.8
8.44e-05,1100.0
9.1e-05,1221.0
9.81e-05,1341.0
0.000106,1457.0
0.000114,1566.0
0.000123,1667.0
0.000133,1758.0
0.000143,1837.0
0.000154,1901.0
0.000166,1949.0
0.000179,1980.0
0.000193,1993.0
0.000208,1987.0
0.000225,1961.0
0.000242,1916.0
0.000261,1851.0
0.000282,1769.0
0.000304,1670.0
0.000328,1557.0
0.000353,1431.0
0.000381,1295.0
0.000411,1152.0
0.000443,1006.0
0.000478,859.1
0.000515,715.6
0.000555,578.8
0.000599,451.9
0.000646,337.8
0.000696,238.9
0.000751,157.2
0.000809,93.4
0.000873,47.78
0.000941,18.9
0.00101,4.444
0.00109,0.0
0.00118,0.0
0.00127,0.0
0.00137,0.0
0.00148,0.0
0.00159,0.0
0.00172,0.0
0.00185,0.0
0.002,0.0
0.00216,0.0
0.00232,0.0
0.00251,0.0
0.0027,0.0
0.00291,0.0
0.00314,0.0
0.00339,0.0
0.00365,0.0
0.00394,0.0
0.00425,0.0
0.00458,0.0
0.00494,0.0
0.00533,0.0
0.00574,0.1877
0.00619,0.9416
0.00668,2.043
0.0072,3.129
0.00776,3.817
0.00837,3.821
0.00902,3.161
0.00973,2.034
0.0105,0.8847
0.0113,0.1736
0.0122,0.0
0.0132,0.0
0.0142,0.0
0.0153,0.0
0.0165,0.0
0.0178,0.0
0.0192,0.0
0.0207,0.0
0.0223,0.0
0.024,0.0
0.0259,0.0
0.0279,0.0
0.0301,0.0
0.0325,0.0
0.035,0.0
0.0378,0.0
0.0407,0.0
0.0439,0.0
0.0474,0.0
0.0511,0.0
0.0551,0.0
0.0594,0.0
0.064,0.0
0.069,0.0
0.0744,0.0
0.0803,0.0
0.0866,0.0
0.0933,0.0
0.101,0.0
0.109,0.0
0.117,0.0
0.126,0.0
0.136,0.0
0.147,0.0
0.158,0.0
0.171,0.0
0.184,0.0
0.198,0.0
0.214,0.0
0.231,0.0
0.249,0.0
0.268,0.0
0.289,0.0
0.312,0.0
0.336,0.0
0.362,0.0
0.391,0.0
0.421,0.0
0.454,0.0
0.49,0.0
0.528,0.0
0.57,0.0
0.614,0.0
0.662,0.0
0.714,0.0
0.77,0.0
0.83,0.0
0.895,0.0
0.965,0.0
1.04,0.0
1.12,0.0
1.21,0.0
1.3,0.0
1.41,0.0
1.52,0.0
1.64,0.0
1.76,0.0
1.9,0.0
2.05,0.0
2.21,0.0
2.38,0.0
2.57,0.0
2.77,0.0
2.99,0.0
3.22,0.0
3.48,0.0
3.75,0.0
4.04,0.0
4.36,0.0
4.7,0.0
5.07,0.0
5.46,0.0
5.89,0.0
6.35,0.0
6.85,0.0
7.38,0.0
7.96,0.0
8.59,0.0
9.26,0.0
9.98,0.0
10.8,0.0
11.6,0.0
12.5,0.0
13.5,0.0
14.6,0.0
15.7,0.0
16.9,0.0
18.2,0.0
19.7,0.0
21.2,0.0
22.9,0.0
24.7,0.0
26.6,0.0
28.7,0.0
30.9,0.0
33.3,0.0
35.9,0.0
38.8,0.0
41.8,0.0
45.1,0.0
48.6,0.0
52.4,0.0
56.5,0.0
60.9,0.0
65.7,0.0
70.8,0.0
76.4,0.0
82.3,0.0
88.8,0.0
95.7,0.0
103.0,0.0
111.0,0.0
120.0,0.0
129.0,0.0
140.0,0.0
150.0,0.0
162.0,0.0
175.0,0.0
189.0,0.0
203.0,0.0
219.0,0.0
237.0,0.0
255.0,0.0
